,series_id,night,onset,wakeup,sleeping_hours
95,08db4255286f,6,2,9,7.3
96,08db4255286f,7,23,6,7.57
97,08db4255286f,8,22,6,8.08
98,08db4255286f,9,21,6,9.85
99,08db4255286f,10,23,6,7.7
100,08db4255286f,11,22,10,12.45
101,08db4255286f,12,3,8,5.6
102,08db4255286f,13,1,11,10.07
103,08db4255286f,14,4,11,7.0
104,08db4255286f,15,1,6,5.85
105,08db4255286f,16,23,5,6.23
106,08db4255286f,17,23,6,7.3
107,08db4255286f,18,23,8,9.3
108,08db4255286f,19,2,11,9.17
109,08db4255286f,20,2,4,2.13
110,08db4255286f,21,1,6,5.42
111,08db4255286f,22,23,5,6.45
112,08db4255286f,23,0,12,12.28
113,08db4255286f,24,6,12,6.13
114,08db4255286f,25,5,13,8.02
115,0a96f4993bd7,1,21,7,10.6
116,0a96f4993bd7,2,23,9,10.43
117,0a96f4993bd7,3,1,9,8.58
118,0a96f4993bd7,4,22,7,9.17
119,0a96f4993bd7,5,21,7,10.47
120,0a96f4993bd7,6,22,6,8.63
121,0a96f4993bd7,7,22,7,9.32
122,0a96f4993bd7,8,22,7,9.13
123,0a96f4993bd7,9,0,10,10.17
124,0a96f4993bd7,10,2,9,7.22
125,0a96f4993bd7,11,0,7,7.93
126,0a96f4993bd7,12,22,8,10.57
127,0a96f4993bd7,13,22,7,9.7
128,0a96f4993bd7,14,21,7,10.07
129,0a96f4993bd7,15,21,6,9.23
130,0cd1e3d0ed95,1,22,4,6.52
131,0cd1e3d0ed95,2,23,8,9.8
132,0cd1e3d0ed95,3,19,5,10.02
133,0cd1e3d0ed95,4,21,6,9.27
134,0cd1e3d0ed95,5,22,6,8.0
135,0cd1e3d0ed95,13,21,6,9.23
136,0ce74d6d2106,1,23,6,7.68
137,0ce74d6d2106,2,23,7,8.25
138,0ce74d6d2106,3,22,7,9.18
139,0ce74d6d2106,4,23,7,8.07
140,0ce74d6d2106,5,23,6,7.27
141,0ce74d6d2106,6,21,6,9.57
142,0ce74d6d2106,7,22,7,9.12
143,0ce74d6d2106,8,21,7,10.75
144,0ce74d6d2106,9,22,7,9.25
145,0ce74d6d2106,10,22,6,8.15
146,0ce74d6d2106,11,22,7,9.03
147,0ce74d6d2106,12,23,7,8.12
148,0ce74d6d2106,13,21,6,9.3
149,0ce74d6d2106,14,22,7,9.08
150,0ce74d6d2106,15,22,7,9.33
151,0ce74d6d2106,16,22,8,10.27
152,0ce74d6d2106,17,23,7,8.27
153,0ce74d6d2106,18,23,6,7.75
154,0ce74d6d2106,19,23,6,7.07
155,0ce74d6d2106,21,22,8,10.42
156,0ce74d6d2106,22,21,6,9.02
157,0ce74d6d2106,23,21,6,9.7
158,0ce74d6d2106,24,20,6,10.48
159,0ce74d6d2106,25,21,5,8.77
160,0ce74d6d2106,26,22,7,9.68
161,0ce74d6d2106,27,22,6,8.03
162,0ce74d6d2106,28,21,6,9.42
163,0ce74d6d2106,29,20,5,9.28
164,0ce74d6d2106,30,21,6,9.7
165,0ce74d6d2106,31,23,6,7.62
166,0ce74d6d2106,32,21,4,7.07
167,0cfc06c129cc,1,21,7,10.7
168,0cfc06c129cc,2,21,6,9.12
169,0cfc06c129cc,3,21,6,9.25
170,0cfc06c129cc,4,22,6,8.28
171,0cfc06c129cc,5,22,6,8.42
172,0cfc06c129cc,6,23,6,7.42
173,0cfc06c129cc,7,20,6,10.32
174,0cfc06c129cc,8,21,6,9.02
175,0cfc06c129cc,9,21,5,8.12
176,0cfc06c129cc,10,21,6,9.1
177,0cfc06c129cc,11,22,5,7.38
178,0cfc06c129cc,12,22,6,8.52
179,0cfc06c129cc,13,21,5,8.2
180,0cfc06c129cc,14,21,6,9.27
181,0cfc06c129cc,15,21,6,9.25
182,0cfc06c129cc,16,22,6,8.45
183,0cfc06c129cc,17,22,6,8.42
184,0cfc06c129cc,18,22,7,9.13
185,0cfc06c129cc,19,21,6,9.0
186,0cfc06c129cc,20,22,7,9.62
187,0cfc06c129cc,21,21,7,10.48
188,0d0ad1e77851,1,22,7,9.17
189,0d0ad1e77851,2,21,6,9.33
190,0d0ad1e77851,3,21,6,9.0
191,0d0ad1e77851,4,23,7,8.0
192,0d0ad1e77851,7,22,7,9.88
193,0d0ad1e77851,8,22,7,9.62
194,0d0ad1e77851,10,22,7,9.23
195,0d0ad1e77851,11,23,6,7.43
196,0d0ad1e77851,12,0,6,6.02
197,0d0ad1e77851,13,22,6,8.1
198,0d0ad1e77851,14,21,6,9.62
199,0d0ad1e77851,15,22,6,8.82
200,0d0ad1e77851,16,1,7,6.18
201,0d0ad1e77851,17,22,7,9.12
202,0d0ad1e77851,18,22,7,9.68
203,0d0ad1e77851,19,23,7,8.45
204,0d0ad1e77851,20,23,7,8.57
205,0d0ad1e77851,21,22,7,9.0
206,0d0ad1e77851,22,20,7,11.5
207,0d0ad1e77851,23,22,6,8.62
208,0dee4fda51c3,1,22,7,9.28
209,0dee4fda51c3,2,1,8,7.07
210,0dee4fda51c3,3,1,9,8.62
211,0dee4fda51c3,4,5,11,6.68
212,0dee4fda51c3,5,1,6,5.33
213,0dee4fda51c3,6,23,5,6.05
214,0dee4fda51c3,7,23,5,6.33
215,0dee4fda51c3,8,22,4,6.82
216,0dee4fda51c3,9,23,9,10.43
217,0dee4fda51c3,10,21,4,7.53
218,0dee4fda51c3,11,21,3,6.02
219,0dee4fda51c3,12,1,6,5.17
220,0dee4fda51c3,13,22,4,6.45
221,0dee4fda51c3,14,0,5,5.62
222,0dee4fda51c3,17,22,6,8.12
223,0dee4fda51c3,19,23,5,6.05
224,0dee4fda51c3,20,22,5,7.18
225,0dee4fda51c3,21,22,4,6.07
226,0dee4fda51c3,23,4,9,5.0
227,0dee4fda51c3,24,3,7,4.37
228,0ec9fc461819,1,22,6,8.27
229,0ec9fc461819,2,2,6,4.18
230,0ec9fc461819,3,23,7,8.08
231,0ec9fc461819,4,21,7,10.38
232,0ec9fc461819,5,21,4,7.0
233,0ec9fc461819,6,20,5,9.45
234,0ec9fc461819,7,20,6,10.67
235,0ec9fc461819,8,21,5,8.47
236,0ec9fc461819,9,20,7,11.62
237,0ec9fc461819,10,22,7,9.68
238,0ec9fc461819,11,21,6,9.27
239,0ec9fc461819,12,20,6,10.27
240,0ec9fc461819,13,20,3,7.6
241,0ec9fc461819,14,19,6,11.05
242,0ec9fc461819,15,21,6,9.53
243,0ec9fc461819,16,21,5,8.27
244,0ec9fc461819,17,21,6,9.18
245,0ec9fc461819,18,22,6,8.22
246,0ec9fc461819,19,20,5,9.03
247,0ec9fc461819,20,20,5,9.2
248,0ec9fc461819,21,21,6,9.42
249,0ec9fc461819,22,21,6,9.3
250,0ec9fc461819,26,21,6,9.15
251,0ec9fc461819,27,21,6,9.02
252,0ec9fc461819,28,20,6,10.43
253,0ec9fc461819,29,21,3,6.12
254,0ec9fc461819,30,19,6,11.23
255,0ec9fc461819,31,22,7,9.42
256,0ec9fc461819,32,22,7,9.92
257,0ec9fc461819,33,22,7,9.2
258,0ef7d94fde99,1,22,7,9.38
259,0ef7d94fde99,2,21,7,10.13
260,0ef7d94fde99,3,19,6,11.73
261,0ef7d94fde99,4,20,6,10.12
262,0ef7d94fde99,5,21,5,8.55
263,0ef7d94fde99,6,20,5,9.07
264,0ef7d94fde99,7,20,5,9.32
265,0ef7d94fde99,8,23,6,7.12
266,0ef7d94fde99,9,22,6,8.13
267,0ef7d94fde99,10,21,6,9.32
268,0ef7d94fde99,11,20,5,9.18
269,0ef7d94fde99,12,20,5,9.43
270,0ef7d94fde99,13,21,5,8.77
271,0ef7d94fde99,14,2,5,3.47
272,0ef7d94fde99,15,23,6,7.0
273,0ef7d94fde99,16,21,6,9.63
274,0ef7d94fde99,17,20,6,10.25
275,0ef7d94fde99,18,20,6,10.72
276,0ef7d94fde99,19,1,5,4.43
277,0ef7d94fde99,20,22,5,7.07
278,0ef7d94fde99,21,0,1,1.07
279,0f572d690310,1,21,6,9.4
280,0f572d690310,2,20,7,11.4
281,0f572d690310,3,21,7,10.05
282,0f572d690310,7,21,7,10.37
283,0f572d690310,8,20,7,11.78
284,0f572d690310,9,21,6,9.3
285,0f572d690310,11,22,7,9.4
286,0f572d690310,12,21,6,9.38
287,0f572d690310,14,21,7,10.03
288,0f572d690310,15,23,7,8.08
289,0f572d690310,16,21,7,10.03
290,0f572d690310,17,22,6,8.25
291,0f572d690310,18,22,6,8.55
292,0f572d690310,22,21,6,9.07
293,0f572d690310,23,4,7,3.37
294,0f572d690310,24,21,6,9.27
295,0f572d690310,25,20,8,12.78
296,0f572d690310,26,21,7,10.18
297,0f572d690310,27,19,8,13.48
298,0f572d690310,28,22,7,9.13
299,10469f6765bf,1,0,8,8.62
300,10469f6765bf,3,22,6,8.38
301,10469f6765bf,4,18,6,12.4
302,1087d7b0ff2e,1,23,7,8.35
303,1087d7b0ff2e,2,17,6,13.37
304,1087d7b0ff2e,3,23,6,7.22
305,1087d7b0ff2e,4,1,8,7.58
306,1087d7b0ff2e,5,1,13,12.45
307,1087d7b0ff2e,6,0,7,7.3
308,1087d7b0ff2e,7,1,6,5.03
309,1087d7b0ff2e,8,22,3,5.43
310,1087d7b0ff2e,9,1,12,11.77
311,1087d7b0ff2e,10,2,11,9.28
312,1087d7b0ff2e,11,3,10,7.63
313,1087d7b0ff2e,12,0,10,10.07
314,1087d7b0ff2e,13,1,6,5.0
315,1087d7b0ff2e,14,22,7,9.75
316,1087d7b0ff2e,15,2,10,8.1
317,1087d7b0ff2e,16,0,6,6.37
318,1087d7b0ff2e,17,23,5,6.28
319,1087d7b0ff2e,18,1,7,6.45
320,1087d7b0ff2e,19,2,13,11.37
321,1087d7b0ff2e,20,1,7,6.23
322,1087d7b0ff2e,21,23,7,8.37
323,1087d7b0ff2e,22,22,6,8.48
324,1087d7b0ff2e,23,23,6,7.9
325,1087d7b0ff2e,24,23,8,9.65
326,10f8bc1f7b07,1,22,7,9.02
327,10f8bc1f7b07,2,23,9,10.13
328,10f8bc1f7b07,3,21,7,10.23
329,10f8bc1f7b07,4,22,7,9.3
330,10f8bc1f7b07,5,21,6,9.75
331,10f8bc1f7b07,6,0,6,6.23
332,10f8bc1f7b07,7,22,6,8.38
333,10f8bc1f7b07,8,20,6,10.5
334,10f8bc1f7b07,9,22,7,9.27
335,10f8bc1f7b07,10,22,6,8.48
336,10f8bc1f7b07,11,21,6,9.25
337,10f8bc1f7b07,12,21,6,9.13
338,10f8bc1f7b07,13,21,6,9.18
339,10f8bc1f7b07,14,21,6,9.2
340,10f8bc1f7b07,15,20,6,10.5
341,10f8bc1f7b07,16,22,5,7.07
342,10f8bc1f7b07,17,22,7,9.7
343,10f8bc1f7b07,18,20,6,10.0
344,10f8bc1f7b07,19,20,6,10.5
345,10f8bc1f7b07,20,21,6,9.58
346,10f8bc1f7b07,21,21,6,9.25
347,10f8bc1f7b07,22,22,6,8.18
348,10f8bc1f7b07,23,22,5,7.25
349,12d01911d509,1,20,6,10.62
350,12d01911d509,2,20,6,10.25
351,12d01911d509,3,21,6,9.12
352,12d01911d509,4,22,7,9.43
353,12d01911d509,6,20,6,10.07
354,12d01911d509,7,20,6,10.48
355,12d01911d509,8,22,6,8.13
356,12d01911d509,9,19,6,11.87
357,12d01911d509,10,20,6,10.17
358,12d01911d509,11,21,8,11.0
359,12d01911d509,12,20,6,10.13
360,12d01911d509,13,20,6,10.58
361,12d01911d509,14,20,6,10.12
362,12d01911d509,15,20,6,10.77
363,12d01911d509,16,20,5,9.25
364,12d01911d509,17,21,8,11.6
365,12d01911d509,18,22,7,9.07
366,12d01911d509,19,21,7,10.72
367,12d01911d509,21,20,6,10.07
368,12d01911d509,22,20,6,10.2
369,12d01911d509,23,22,6,8.25
370,12d01911d509,24,21,6,9.32
371,12d01911d509,25,23,6,7.25
372,12d01911d509,26,21,6,9.32
373,12d01911d509,27,20,6,10.23
374,12d01911d509,28,22,6,8.33
375,1319a1935f48,1,20,6,10.77
376,1319a1935f48,2,19,6,11.68
377,1319a1935f48,3,20,6,10.2
378,1319a1935f48,4,20,7,11.53
379,1319a1935f48,5,20,5,9.3
380,1319a1935f48,6,22,7,9.83
381,1319a1935f48,7,19,6,11.3
382,1319a1935f48,8,20,6,10.18
383,1319a1935f48,9,20,6,10.68
384,1319a1935f48,10,0,7,7.18
385,1319a1935f48,11,19,7,12.0
386,1319a1935f48,12,20,6,10.68
387,1319a1935f48,13,20,5,9.52
388,1319a1935f48,14,20,6,10.5
389,1319a1935f48,15,20,6,10.32
390,1319a1935f48,16,22,7,9.25
391,1319a1935f48,17,19,5,10.8
392,1319a1935f48,18,19,7,12.63
393,1319a1935f48,19,20,5,9.75
394,1319a1935f48,20,19,6,11.28
395,1319a1935f48,21,20,5,9.32
396,1319a1935f48,22,19,6,11.73
397,1319a1935f48,23,19,5,10.18
398,1319a1935f48,24,19,5,10.0
399,1319a1935f48,25,19,6,11.02
400,1319a1935f48,26,20,6,10.7
401,1319a1935f48,27,19,6,11.38
402,1319a1935f48,28,20,6,10.13
403,1319a1935f48,29,19,6,11.18
404,1319a1935f48,30,20,5,9.0
405,1319a1935f48,31,19,5,10.27
406,1319a1935f48,32,20,6,10.2
407,1319a1935f48,33,19,6,11.27
408,137771d19ca2,2,22,9,11.87
409,137771d19ca2,3,0,11,11.03
410,137771d19ca2,4,22,5,7.43
411,137771d19ca2,5,23,7,8.52
412,137b99e936ab,1,1,12,11.3
413,137b99e936ab,4,1,10,9.35
414,137b99e936ab,5,23,7,8.2
415,137b99e936ab,6,0,10,10.0
416,137b99e936ab,7,3,7,4.25
417,137b99e936ab,9,2,5,3.38
418,137b99e936ab,10,22,10,12.3
419,137b99e936ab,13,0,11,11.03
420,137b99e936ab,14,4,7,3.3
421,137b99e936ab,15,19,1,6.3
422,137b99e936ab,16,2,11,9.12
423,137b99e936ab,17,1,4,3.33
424,137b99e936ab,19,3,12,9.2
425,137b99e936ab,20,5,16,11.63
426,137b99e936ab,22,22,6,8.38
427,137b99e936ab,23,1,7,6.38
428,137b99e936ab,24,3,11,8.45
429,137b99e936ab,28,17,10,17.43
430,13b4d6a01d27,2,23,8,9.13
431,13b4d6a01d27,3,0,8,8.03
432,13b4d6a01d27,4,23,9,10.68
433,13b4d6a01d27,5,0,8,8.62
434,148471991ffb,1,0,6,6.1
435,148471991ffb,2,2,13,11.77
436,148471991ffb,8,17,6,13.18
437,148471991ffb,15,0,6,6.6
438,148471991ffb,16,1,16,15.48
439,148471991ffb,17,0,11,11.5
440,148471991ffb,18,1,11,10.13
441,148471991ffb,19,4,8,4.18
442,148471991ffb,20,18,13,19.12
443,148471991ffb,21,5,14,9.67
444,148471991ffb,22,2,12,10.25
445,148471991ffb,23,4,8,4.18
446,148471991ffb,24,2,14,12.42
447,148471991ffb,25,4,13,9.27
448,148471991ffb,26,2,6,4.57
449,154fe824ed87,1,22,8,10.52
450,154fe824ed87,2,0,9,9.28
451,154fe824ed87,3,23,6,7.1
452,154fe824ed87,4,23,6,7.67
453,154fe824ed87,5,0,6,6.48
454,154fe824ed87,6,22,6,8.23
455,154fe824ed87,7,23,9,10.05
456,154fe824ed87,8,1,9,8.32
457,154fe824ed87,9,0,7,7.18
458,154fe824ed87,10,23,6,7.32
459,154fe824ed87,11,21,9,12.25
460,154fe824ed87,12,0,6,6.32
461,154fe824ed87,13,23,6,7.07
462,154fe824ed87,14,23,6,7.07
463,154fe824ed87,15,2,12,10.72
464,154fe824ed87,16,0,6,6.15
465,154fe824ed87,17,22,10,12.32
466,154fe824ed87,18,21,6,9.07
467,154fe824ed87,19,23,7,8.57
468,154fe824ed87,20,22,7,9.93
469,154fe824ed87,21,23,8,9.62
470,154fe824ed87,22,0,11,11.42
471,154fe824ed87,23,23,6,7.57
472,154fe824ed87,24,23,6,7.43
473,154fe824ed87,25,0,6,6.75
474,154fe824ed87,26,22,6,8.38
475,154fe824ed87,27,23,7,8.27
476,154fe824ed87,28,0,9,9.55
477,154fe824ed87,29,1,9,8.53
478,154fe824ed87,31,23,9,10.07
479,16fe2798ed0f,1,23,6,7.08
480,16fe2798ed0f,3,23,8,9.12
481,16fe2798ed0f,5,23,6,7.7
482,16fe2798ed0f,6,23,6,7.37
483,16fe2798ed0f,7,0,6,6.55
484,16fe2798ed0f,10,0,11,11.35
485,16fe2798ed0f,12,23,6,7.3
486,16fe2798ed0f,13,0,7,7.05
487,16fe2798ed0f,15,23,6,7.58
488,16fe2798ed0f,17,0,9,9.07
489,16fe2798ed0f,18,1,10,9.28
490,16fe2798ed0f,19,0,6,6.02
491,16fe2798ed0f,20,23,6,7.13
492,16fe2798ed0f,22,0,6,6.47
493,1716cd4163b2,1,22,8,10.43
494,1716cd4163b2,2,23,9,10.2
495,1716cd4163b2,3,21,7,10.88
496,1716cd4163b2,4,21,7,10.58
497,1716cd4163b2,5,21,6,9.63
498,1716cd4163b2,6,21,6,9.7
499,1716cd4163b2,7,21,7,10.23
500,1716cd4163b2,8,22,6,8.43
501,1716cd4163b2,9,22,7,9.18
502,1716cd4163b2,10,21,7,10.23
503,1716cd4163b2,11,21,7,10.32
504,1716cd4163b2,12,20,6,10.65
505,1716cd4163b2,13,22,6,8.92
506,1716cd4163b2,14,22,6,8.32
507,1716cd4163b2,15,23,7,8.25
508,1716cd4163b2,16,20,7,11.25
509,1716cd4163b2,17,21,6,9.77
510,1716cd4163b2,18,20,7,11.38
511,1716cd4163b2,19,21,6,9.27
512,1716cd4163b2,20,21,6,9.37
513,1716cd4163b2,21,20,6,10.3
514,1716cd4163b2,22,22,6,8.28
515,1716cd4163b2,23,22,8,10.68
516,1716cd4163b2,24,18,6,12.23
517,1716cd4163b2,25,21,6,9.28
518,1762ab70ec76,1,23,7,8.43
519,1762ab70ec76,2,21,7,10.2
520,1762ab70ec76,4,23,7,8.45
521,1762ab70ec76,5,23,7,8.25
522,1762ab70ec76,6,20,7,11.08
523,1762ab70ec76,7,22,6,8.02
524,1762ab70ec76,9,23,8,9.32
525,1762ab70ec76,10,21,9,12.7
526,1762ab70ec76,11,23,8,9.45
527,1762ab70ec76,12,23,7,8.3
528,1762ab70ec76,13,22,7,9.07
529,1762ab70ec76,14,22,7,9.32
530,1762ab70ec76,15,21,7,10.55
531,1762ab70ec76,16,21,11,14.48
532,1762ab70ec76,17,0,9,9.37
533,1762ab70ec76,18,23,7,8.32
534,1762ab70ec76,19,21,7,10.07
535,1762ab70ec76,20,21,7,10.12
536,1762ab70ec76,21,23,7,8.15
537,188d4b7cd28b,1,21,6,9.0
538,188d4b7cd28b,2,22,5,7.78
539,188d4b7cd28b,3,21,6,9.1
540,188d4b7cd28b,4,23,6,7.57
541,188d4b7cd28b,5,22,6,8.53
542,188d4b7cd28b,6,22,7,9.45
543,188d4b7cd28b,7,20,7,11.5
544,188d4b7cd28b,8,20,6,10.0
545,188d4b7cd28b,9,22,6,8.02
546,188d4b7cd28b,11,22,6,8.38
547,188d4b7cd28b,12,21,6,9.45
548,188d4b7cd28b,13,22,6,8.2
549,188d4b7cd28b,14,20,7,11.13
550,188d4b7cd28b,15,21,6,9.67
551,188d4b7cd28b,16,21,6,9.63
552,188d4b7cd28b,17,20,7,11.13
553,188d4b7cd28b,18,21,6,9.43
554,188d4b7cd28b,19,20,6,10.13
555,188d4b7cd28b,20,21,7,10.48
556,188d4b7cd28b,21,21,6,9.68
557,188d4b7cd28b,22,22,6,8.8
558,18a0ca03431d,1,19,6,11.08
559,18a0ca03431d,2,20,6,10.18
560,18a0ca03431d,3,20,6,10.43
561,18a0ca03431d,4,21,6,9.17
562,18a0ca03431d,5,22,6,8.3
563,18a0ca03431d,6,20,6,10.13
564,18a0ca03431d,7,20,5,9.62
565,18a0ca03431d,8,19,6,11.17
566,18a0ca03431d,9,0,6,6.28
567,18a0ca03431d,11,21,7,10.13
568,18a0ca03431d,12,19,6,11.62
569,18a0ca03431d,13,21,6,9.43
570,18a0ca03431d,14,21,6,9.53
571,18a0ca03431d,15,20,5,9.25
572,18a0ca03431d,16,20,7,11.85
573,18a0ca03431d,17,21,5,8.63
574,18a0ca03431d,18,21,7,10.08
575,18a0ca03431d,19,21,7,10.18
576,18a0ca03431d,20,20,7,11.03
577,18a0ca03431d,21,21,6,9.32
578,18a0ca03431d,22,20,6,10.18
579,18a0ca03431d,23,20,3,7.77
580,18a0ca03431d,24,21,6,9.35
581,18a0ca03431d,25,20,5,9.02
582,18a0ca03431d,26,19,6,11.18
583,18a0ca03431d,27,20,6,10.07
584,18a0ca03431d,28,19,6,11.3
585,18a0ca03431d,29,20,6,10.0
586,18a0ca03431d,30,23,6,7.93
587,18b61dd5aae8,1,22,9,11.13
588,18b61dd5aae8,2,22,8,10.4
589,18b61dd5aae8,3,20,5,9.58
590,18b61dd5aae8,4,23,4,5.87
591,18b61dd5aae8,5,23,4,5.23
592,18b61dd5aae8,6,0,4,4.88
593,18b61dd5aae8,7,22,4,6.05
594,18b61dd5aae8,8,0,10,10.05
595,18b61dd5aae8,9,0,6,6.93
596,18b61dd5aae8,10,0,8,8.87
597,18b61dd5aae8,11,22,7,9.37
598,18b61dd5aae8,12,22,9,11.07
599,18b61dd5aae8,13,22,9,11.35
600,18b61dd5aae8,14,23,8,9.47
601,18b61dd5aae8,15,22,9,11.18
602,18b61dd5aae8,16,22,7,9.07
603,18b61dd5aae8,17,1,9,8.42
604,18b61dd5aae8,18,22,4,6.57
605,18b61dd5aae8,19,22,4,6.1
606,18b61dd5aae8,20,23,5,6.3
607,18b61dd5aae8,21,21,7,10.5
608,18b61dd5aae8,22,22,7,9.25
609,18b61dd5aae8,23,20,7,11.0
610,18b61dd5aae8,24,20,4,8.4
611,18b61dd5aae8,25,21,4,7.63
612,18b61dd5aae8,26,21,4,7.13
613,18b61dd5aae8,27,23,4,5.93
614,18b61dd5aae8,28,23,4,5.52
615,18b61dd5aae8,29,0,8,8.05
616,1955d568d987,1,22,7,9.45
617,1955d568d987,2,20,4,8.23
618,1955d568d987,3,20,6,10.47
619,1955d568d987,4,20,5,9.57
620,1955d568d987,5,21,5,8.25
621,1955d568d987,6,20,5,9.57
622,1955d568d987,7,20,5,9.07
623,1955d568d987,8,20,7,11.58
624,1955d568d987,9,21,6,9.47
625,1955d568d987,10,20,6,10.25
626,1955d568d987,11,20,7,11.63
627,1955d568d987,12,20,6,10.4
628,1955d568d987,13,20,6,10.33
629,1955d568d987,14,20,6,10.57
630,1955d568d987,15,20,5,9.33
631,1955d568d987,16,20,5,9.68
632,1955d568d987,17,20,2,6.47
633,1955d568d987,18,20,6,10.9
634,1955d568d987,19,21,5,8.32
635,1955d568d987,20,20,2,6.75
636,1955d568d987,21,21,5,8.98
637,1955d568d987,22,21,7,10.62
638,1955d568d987,23,21,7,10.18
639,1955d568d987,24,21,7,10.25
640,1955d568d987,25,21,7,10.07
641,1955d568d987,26,21,7,10.2
642,1955d568d987,27,21,7,10.23
643,1955d568d987,28,22,7,9.28
644,1955d568d987,29,21,7,10.45
645,1b92be89db4c,1,19,1,6.15
646,1b92be89db4c,2,18,6,12.13
647,1b92be89db4c,3,22,6,8.55
648,1b92be89db4c,4,0,7,7.55
649,1b92be89db4c,5,23,8,9.75
650,1b92be89db4c,6,0,9,9.97
651,1b92be89db4c,7,23,7,8.12
652,1b92be89db4c,8,22,7,9.3
653,1b92be89db4c,9,21,7,10.48
654,1b92be89db4c,10,22,7,9.58
655,1b92be89db4c,12,0,9,9.22
656,1b92be89db4c,13,17,2,9.02
657,1b92be89db4c,14,21,7,10.07
658,1b92be89db4c,15,23,7,8.07
659,1b92be89db4c,16,1,10,9.3
660,1b92be89db4c,17,23,7,8.2
661,1b92be89db4c,18,22,9,11.22
662,1b92be89db4c,19,3,10,7.27
663,1b92be89db4c,20,0,10,10.15
664,1b92be89db4c,21,0,7,7.35
665,1b92be89db4c,22,21,7,10.32
666,1c7c0bad1263,1,2,8,6.15
